similarity;sentence1;sentence2
neutral;Two girls holding another girl wearing a yellow top in a room with tan carpet.;Three teenage girls practice their cheerleader routine.
contradiction;Two girls holding another girl wearing a yellow top in a room with tan carpet.;Two girls order a pizza from an older woman.
entailment;Two girls holding another girl wearing a yellow top in a room with tan carpet.;Females holding another female in a room.
contradiction;A person rappels down a steep incline.;a person sits on the couch eating cheetos
neutral;A person rappels down a steep incline.;a person is rappelling towards a waterfall
entailment;A person rappels down a steep incline.;a person is rappelling
entailment;The motorcyclist has reached the summit.;A person rides a motorcycle.
contradiction;The motorcyclist has reached the summit.;A person drives a car.
neutral;The motorcyclist has reached the summit.;A person rides a motorcycle fast.
contradiction;Two girls lift a third girl.;Two girls are watching a third girl being lifted by a couple boys.
contradiction;Two girls lift a third girl.;A guy uses a hose to water his bush.
contradiction;Two girls lift a third girl.;Three girls are sitting on the grass eating ice cream
entailment;Two girls lift a third girl.;Two girls are lifting somebody
neutral;Two girls lift a third girl.;Two girls lift a third at a cheer leading competition.
entailment;Two girls lift a third girl.;Two girls are picking up another girl
neutral;Two girls lift a third girl.;Two blonde haired girls are lifting a brown haired girl
contradiction;Two girls lift a third girl.;Two girls beat up a younger girl.
neutral;Two girls lift a third girl.;Three girls are at cheerleading practice
contradiction;Two girls lift a third girl.;A wooden door has a hole in it.
entailment;Two girls lift a third girl.;Three girls are playing together.
entailment;Two girls lift a third girl.;People lift each other.
neutral;Two girls lift a third girl.;Two small girls are hoisting up a larger girl on their shoulders.
entailment;Two girls lift a third girl.;Three girls are doing something.
neutral;Two girls lift a third girl.;Sisters are goofing around.
entailment;A brown dog runs on brown grass.;A dog running on grass.
neutral;A brown dog runs on brown grass.;An old dog running on grass.
contradiction;A brown dog runs on brown grass.;An old dog running on bright green grass.
neutral;The furry brown dog is running through the grassy area.;The dog is fetching a ball.
entailment;The furry brown dog is running through the grassy area.;The dog is playing in a field.
contradiction;The furry brown dog is running through the grassy area.;The dog is sleeping on the bed.
neutral;A brown dog is running and looking up at the sky.;A brown dog runs to catch a stick
contradiction;A brown dog is running and looking up at the sky.;A brown dog lays under a tree.
entailment;A brown dog is running and looking up at the sky.;A brown dog runs while looking at the sky.
entailment;A golden colored dug prances in the grass.;A dog is in the grass.
contradiction;A golden colored dug prances in the grass.;A dog is napping outside.
neutral;A golden colored dug prances in the grass.;A dog prances in the grass after catching a stick.
entailment;The brown dog is playing outdoors.;An animal is outside.
contradiction;The brown dog is playing outdoors.;The brown dog is eating in the kitchen.
neutral;The brown dog is playing outdoors.;The brown poodle is playing outside with a tree branch.
neutral;Asian man shooting a gun in between rocks.;He is aiming at a target in between rocks.
entailment;Asian man shooting a gun in between rocks.;Asian man shooting a gun.
contradiction;Asian man shooting a gun in between rocks.;The man is using a bow and arrow.
contradiction;An Asian man, crouching on a stone wall in the mountains aiming a rifle.;The man is holding a sword.
entailment;An Asian man, crouching on a stone wall in the mountains aiming a rifle.;The man aims his gun.
neutral;An Asian man, crouching on a stone wall in the mountains aiming a rifle.;The man is going to shoot a rhino.
contradiction;A man on a hilltop is crouched and holding a gun.;The man is swinging on a tire swing
entailment;A man on a hilltop is crouched and holding a gun.;A man has a gun
neutral;A man on a hilltop is crouched and holding a gun.;The gun is a revolver
contradiction;Two young boys are playing with two toddler girls.;Two boys are making themselves breakfast.
entailment;Two young boys are playing with two toddler girls.;Four kids are playing a game together.
neutral;Two young boys are playing with two toddler girls.;Two boys are outside playing with their young cousins.
entailment;An Asian man in a jacket, glasses, and sandals is at a high altitude aiming a gun.;An Asian man gets ready to shoot a gun.
contradiction;An Asian man in a jacket, glasses, and sandals is at a high altitude aiming a gun.;An Asian man is surfing.
neutral;An Asian man in a jacket, glasses, and sandals is at a high altitude aiming a gun.;An Asian man is dressed up so someone can take photos of him.
contradiction;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;A naked man is standing in the bathroom.
neutral;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;A man is holding a coffee mug with soup in it.
contradiction;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;A man goes to the bathroom on some coffee.
contradiction;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;a man is throwing rocks
neutral;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;A person stands in a bathroom and drinks coffee.
neutral;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;a man drinks beer from a coffee mug
entailment;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;A man stands in a bathroom with a coffee cup.
neutral;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;There are other people in the bathroom with the man.
entailment;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;a man drinks in the bathroom
entailment;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;There is someone in the bathroom.
entailment;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;A man is indoors.
neutral;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;The man is waiting to go to the bathroom.
contradiction;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;A man is running.
entailment;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;A man is wearing a hat on his head.
contradiction;A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.;The man is wearing a blue jacket.
entailment;A woman walking down the side of a highway.;The woman walks down the road.
neutral;A woman walking down the side of a highway.;The woman is wearing a blue dress.
contradiction;A woman walking down the side of a highway.;The man is walking down the highway.
contradiction;A woman is walking down the middle of the road carrying a bottle.;A woman is running outside
neutral;A woman is walking down the middle of the road carrying a bottle.;A woman is walking home
entailment;A woman is walking down the middle of the road carrying a bottle.;A woman is walking outside
contradiction;A woman in a short skirt holds a plastic bottle as she walks down a street with auto and pedestrian traffic.;The woman is inside buying a card.
neutral;A woman in a short skirt holds a plastic bottle as she walks down a street with auto and pedestrian traffic.;The woman is carrying Dasani water.
entailment;A woman in a short skirt holds a plastic bottle as she walks down a street with auto and pedestrian traffic.;The woman in a short skit is holding a bottle and walking outdoors.
entailment;A woman wearing a jean skirt walks down a city street.;A female walks down an urban street.
contradiction;A woman wearing a jean skirt walks down a city street.;A man in jeans runs through a park.
neutral;A woman wearing a jean skirt walks down a city street.;A woman is wearing a jean skirt.
contradiction;A woman walking parallel to a yellow line against traffic.;A woman is flying through the sky.
neutral;A woman walking parallel to a yellow line against traffic.;a woman is walking against traffic.
entailment;A woman walking parallel to a yellow line against traffic.;A person is walking along the side of the road.
contradiction;Fellows writing on the back of a friend with black markers.;People are bullying a kid by writing cruel things on his back with permanant marker.
entailment;Fellows writing on the back of a friend with black markers.;There are people writing on someone's back.
neutral;Fellows writing on the back of a friend with black markers.;People are writing silly things on their friend's back with markers.
contradiction;A couple dressed in hoodies kissing on the beach.;they are not at a beach
entailment;A couple dressed in hoodies kissing on the beach.;there is a couple
neutral;A couple dressed in hoodies kissing on the beach.;there is a couple in love
neutral;A man holds up a fish he just caught.;The fish was huge!
contradiction;A man holds up a fish he just caught.;The man was using a sword to catch fish with.
entailment;A man holds up a fish he just caught.;He found a great place to fish.
entailment;A woman in a green t-shirt speaks into a microphone.;There is a woman in a green t-shirt.
neutral;A woman in a green t-shirt speaks into a microphone.;The woman is speaking for TEDtalks.
contradiction;A woman in a green t-shirt speaks into a microphone.;A man in green shorts speaks into a microphone.
neutral;A little girl walking down a dirt road behind a group of other walkers.;Girl behind group of walkers
entailment;A little girl walking down a dirt road behind a group of other walkers.;The girl is not at the head of the pack of people.
neutral;A little girl walking down a dirt road behind a group of other walkers.;A little girl walking down a dirt road to meet up with her friends.
entailment;A little girl walking down a dirt road behind a group of other walkers.;Girl walking down road
neutral;A little girl walking down a dirt road behind a group of other walkers.;A small girl is sneaking up on some people walking down a dirt road
contradiction;A little girl walking down a dirt road behind a group of other walkers.;guys in group
contradiction;A little girl walking down a dirt road behind a group of other walkers.;A girl rides her bike on the sidewalk
entailment;A little girl walking down a dirt road behind a group of other walkers.;A little girl walking outdoors.
contradiction;A little girl walking down a dirt road behind a group of other walkers.;A girl is riding a bicycle down a grassy hill.
neutral;A little girl walking down a dirt road behind a group of other walkers.;The young girl is following her parents down the road.
neutral;A little girl walking down a dirt road behind a group of other walkers.;A tired girl is having trouble keeping up with her parents.
contradiction;A little girl walking down a dirt road behind a group of other walkers.;The little girl is riding a bike.
entailment;A little girl walking down a dirt road behind a group of other walkers.;A girl is on a dirt road.
entailment;A little girl walking down a dirt road behind a group of other walkers.;A small girl is following people walking down a dirt road.
contradiction;A little girl walking down a dirt road behind a group of other walkers.;A little girl lying down, watching television.
entailment;A bunch of travelers stand around.;A group of people are corded together.
contradiction;A bunch of travelers stand around.;There is one person outside.
neutral;A bunch of travelers stand around.;A group of people are crowded for a street performer.
neutral;A young adult wearing jeans and a camouflage t-shirt playing a black electric guitar.;A rock musician auditions for a band.
contradiction;A young adult wearing jeans and a camouflage t-shirt playing a black electric guitar.;The musician wears a frilly dress.
entailment;A young adult wearing jeans and a camouflage t-shirt playing a black electric guitar.;The guitar player weras black and camo clothing.
contradiction;There is an Asian woman in a black suit who is standing around and waiting at an airport.;A woman is knitting a hat for a baby.
neutral;There is an Asian woman in a black suit who is standing around and waiting at an airport.;The woman is talking on her cell phone while she is waiting at an airport.
entailment;There is an Asian woman in a black suit who is standing around and waiting at an airport.;A woman is waiting at the airport.
neutral;A woman of Asian looking descent in a black outfit standing in the airport baggage area.;A woman waiting to collect her luggage after flying in from the Orient to join the symphony orchestra on it's tour
entailment;A woman of Asian looking descent in a black outfit standing in the airport baggage area.;A woman waiting at the airport baggage claim
contradiction;A woman of Asian looking descent in a black outfit standing in the airport baggage area.;A woman walking three dogs in the park
entailment;People are waiting with their luggage at an airport check-in.;People are waiting to check in for their flights.
contradiction;People are waiting with their luggage at an airport check-in.;A couple nearly misses their cruise departure due to traffic.
neutral;People are waiting with their luggage at an airport check-in.;A very long line of people are waiting to check in for their flights.
neutral;People in a airport with luggage waiting on something.;The plane is late to the airport.
contradiction;People in a airport with luggage waiting on something.;The people are at home sleeping.
entailment;People in a airport with luggage waiting on something.;The people are indoors waiting.
neutral;A kid does a tumbling move over a leaf-covered lawn near sundown.;a short kid does a tumbling move
contradiction;A kid does a tumbling move over a leaf-covered lawn near sundown.;a young woman does a tumbling move
entailment;A kid does a tumbling move over a leaf-covered lawn near sundown.;a kid does a tumbling move
entailment;A band performs on a stage.;A band performs.
contradiction;A band performs on a stage.;A band take a break in the green room.
neutral;A band performs on a stage.;A band plays a song.
contradiction;A woman in a black shirt walking down the street;A young man in a red shirt is riding a skateboard down thew street.
neutral;A woman in a black shirt walking down the street;A woman in a black shirt is walking to work.
entailment;A woman in a black shirt walking down the street;There is a woman wearing a back shirt walking in the street.
entailment;A man with a blue and white trucker style hat with a logo is wearing glasses in front of a man with a yellow shirt.;a man wairs a blue hat and glasses
neutral;A man with a blue and white trucker style hat with a logo is wearing glasses in front of a man with a yellow shirt.;he is meeting a friend of his
contradiction;A man with a blue and white trucker style hat with a logo is wearing glasses in front of a man with a yellow shirt.;they are driving
entailment;A man in a t-shirt, glasses and a National Bohemian Beer cap is looking to his right and smiling.;a man is smiling
contradiction;A man in a t-shirt, glasses and a National Bohemian Beer cap is looking to his right and smiling.;a man is happily wearing his beer cap outside
neutral;A man in a t-shirt, glasses and a National Bohemian Beer cap is looking to his right and smiling.;a man is smiling because of his shirt
neutral;A woman in pink is singing on stage next to three guitar players.;She is performing at a concert.
entailment;A woman in pink is singing on stage next to three guitar players.;A woman is singing.
contradiction;A woman in pink is singing on stage next to three guitar players.;The woman is not a good singer.
entailment;A woman in a black-shirt is walking holding a silver cellphone.;a woman is walking
contradiction;A woman in a black-shirt is walking holding a silver cellphone.;a man is walking
neutral;A woman in a black-shirt is walking holding a silver cellphone.;an older woman is walking
contradiction;A group of people are at an aquarium to view marine life.;A group of people are looking at Zebras at the zoo.
neutral;A group of people are at an aquarium to view marine life.;A group are at the aquarium on a tour.
entailment;A group of people are at an aquarium to view marine life.;A group are viewing all the different types of fish at the aquarium.
contradiction;A young women smiling and a young man smirking in front of a speaker.;Two young people arguing.
neutral;A young women smiling and a young man smirking in front of a speaker.;A young couple on a date.
entailment;A young women smiling and a young man smirking in front of a speaker.;Two people enjoying each others company.
contradiction;A man is doing his laundry.;A young man is eating lunch.
entailment;A man is doing his laundry.;A man does his laundry.
neutral;A man is doing his laundry.;A man does laundry for his family.
contradiction;A person stands in the middle of traffic.;A person is sitting in the the middle of nowhere.
neutral;A person stands in the middle of traffic.;A person stands in the middle in the public waiting to move.
entailment;A person stands in the middle of traffic.;A person is standing in the public.
contradiction;A man dressed in a red shirt sits watching his laundry being washed.;The man is riding a bicycle.
entailment;A man dressed in a red shirt sits watching his laundry being washed.;A man in indoors.
neutral;A man dressed in a red shirt sits watching his laundry being washed.;A man is in a laundromat.
neutral;Man sits and watches five washing machines.;A man sits in a laundromat.
contradiction;Man sits and watches five washing machines.;A man watches the only machine in the room.
entailment;Man sits and watches five washing machines.;There is a person watching machines designed to clean laundry.
entailment;People looking at fish at an aquarium.;Some people are watching fish in an aquarium.
neutral;People looking at fish at an aquarium.;People looking at fish for a school project.
entailment;People looking at fish at an aquarium.;A group of people is observing aquatic life.
contradiction;People looking at fish at an aquarium.;The group of people have reached the top of the Eiffel Tower.
neutral;People looking at fish at an aquarium.;People are spending their day off inside of an aquarium with sharks.
neutral;People looking at fish at an aquarium.;There are two sharks in an aquarium exhibit.
contradiction;People looking at fish at an aquarium.;The people are eating fish.
contradiction;People looking at fish at an aquarium.;People are gathered around a dinosaur exhibit at a museum.
entailment;People looking at fish at an aquarium.;People are gazing upon fish in an aquarium.
contradiction;People looking at fish at an aquarium.;People are looking at fish in the ocean on a beach.
contradiction;People looking at fish at an aquarium.;People looking at turtles.
neutral;People looking at fish at an aquarium.;The people are visiting the aquarium.
entailment;People looking at fish at an aquarium.;People looking at fish.
entailment;People looking at fish at an aquarium.;There are people at an aquarium looking at fish.
neutral;People looking at fish at an aquarium.;A field trip visits an aquarium to look at fish.
contradiction;A man sitting at the public laundromat waiting for his clothes to finish drying.;Nobody is sitting.
entailment;A man sitting at the public laundromat waiting for his clothes to finish drying.;A human sitting.
neutral;A man sitting at the public laundromat waiting for his clothes to finish drying.;A large human sitting.
contradiction;A woman swimming with two children in blue life vests;The life vests are brown.
neutral;A woman swimming with two children in blue life vests;The woman is the children's mother.
entailment;A woman swimming with two children in blue life vests;People are in the water.
contradiction;A woman and two children who are wearing blue life vests are swimming.;These people are dry and warm.
neutral;A woman and two children who are wearing blue life vests are swimming.;The family swims from the sinking canoe.
entailment;A woman and two children who are wearing blue life vests are swimming.;The people have matching life vests
entailment;A woman and two children are swimming in water.;There is water.
neutral;A woman and two children are swimming in water.;The water is cold.
contradiction;A woman and two children are swimming in water.;There are no children.
contradiction;The mother with two son are swimming in the sea.;two boys are swimming while the mom is tanning on the beach
neutral;The mother with two son are swimming in the sea.;the sons are being chased by their mom in the ocean
entailment;The mother with two son are swimming in the sea.;the mother and sons are swimming
neutral;A woman and kids swimming in a lake.;The mother is having the kids race in the lake.
contradiction;A woman and kids swimming in a lake.;A woman is making cookies for the kids.
entailment;A woman and kids swimming in a lake.;A woman in kids are outside playing in water.
entailment;Some girls are dressed in zombie makeup.;Girls wearing zombie makeup.
contradiction;Some girls are dressed in zombie makeup.;These are zombies.
neutral;Some girls are dressed in zombie makeup.;Girls dressed as zombie brides.
contradiction;Four guys in striped shirts playing music instruments in a restaurant.;A group of ladies is hunting an elephant.
neutral;Four guys in striped shirts playing music instruments in a restaurant.;A group of Italians are playing instruments.
entailment;Four guys in striped shirts playing music instruments in a restaurant.;A band is playing songs indoors.
neutral;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;The lady is babysitting her granddaughter.
neutral;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;A mother feeds sweets to her daughter.
entailment;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;There is a young girl.
contradiction;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;The woman and her grandson enjoy their day out by themselves.
neutral;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;A woman gives a girl dressed like a princess candy on Halloween.
contradiction;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;A man wearing a cape gives a boy a baseball.
neutral;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;The woman is smiling.
entailment;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;The woman shared her candy with the child.
neutral;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;The toddler is eating the candy.
entailment;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;The woman is not selfish with the young girl.
entailment;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;A woman is giving a girl some treats.
entailment;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;A woman eats with a toddler.
contradiction;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;A father eats breakfast with a teenage boy.
contradiction;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;The woman is sharing the fruit with the toddler.
contradiction;A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.;There is no woman.
neutral;Woman in red shirt and sunglasses gives candy to her daughter who is wearing a crown.;A woman passes out Halloween candy to a girl dressed as a princess.
contradiction;Woman in red shirt and sunglasses gives candy to her daughter who is wearing a crown.;A woman in a red shirt gives her daughter her backpack for school.
entailment;Woman in red shirt and sunglasses gives candy to her daughter who is wearing a crown.;A woman gives candy to a girl.
neutral;A woman holds a plate of goodies for her little princess.;Woman holds a plate of goodies
entailment;A woman holds a plate of goodies for her little princess.;Woman with plate of goodies for her little princess
contradiction;A woman holds a plate of goodies for her little princess.;Woman holds a book for her husband
neutral;A little girl with a tiara eating in someones lap.;The girl was with other people having a meal.
contradiction;A little girl with a tiara eating in someones lap.;The girl was drinking a soda next to a fountain.
entailment;A little girl with a tiara eating in someones lap.;The girl was in her mothers lap eating dinner after she won a tiara in the contest.
contradiction;a fat lady feeding her young daughter.;The man gives his son an icecream cone.
entailment;a fat lady feeding her young daughter.;The lady weighs over 100 pounds.
contradiction;a fat lady feeding her young daughter.;The woman is hang gliding above the trees.
contradiction;a fat lady feeding her young daughter.;The lady is playing in a cricket tournament.
entailment;a fat lady feeding her young daughter.;A fat lady feeding a girl.
neutral;a fat lady feeding her young daughter.;A fat lady feeding a girl who is starving.
entailment;a fat lady feeding her young daughter.;Two people at a mealtime.
neutral;a fat lady feeding her young daughter.;The daughter is eating something delicious.
contradiction;a fat lady feeding her young daughter.;The lady is skinny.
neutral;a fat lady feeding her young daughter.;The lady is in the kitchen.
contradiction;a fat lady feeding her young daughter.;A fat lady feeding a dog.
neutral;a fat lady feeding her young daughter.;The child is a boy.
entailment;a fat lady feeding her young daughter.;A woman is feeding her young child.
entailment;a fat lady feeding her young daughter.;There are two women.
neutral;a fat lady feeding her young daughter.;The lady is holding out a spoon to her child.
entailment;A woman taking a picture.;The woman is taking a photo.
neutral;A woman taking a picture.;The tourist is taking pictures of her vacation.
contradiction;A woman taking a picture.;The tourist is buying souvenirs of her trip.
neutral;A woman in sunglasses taking a photograph;The woman is taking a picture of a dog.
entailment;A woman in sunglasses taking a photograph;The woman is taking a photograph.
contradiction;A woman in sunglasses taking a photograph;The woman is laying down.
neutral;A woman in a black dress and shades takes a photo.;the women is a model
entailment;A woman in a black dress and shades takes a photo.;a women in a black dress and glasses takes a photo
contradiction;A woman in a black dress and shades takes a photo.;the women is sleeping
contradiction;A lady wearing a black summer top and dark sunglasses is taking a photograph.;A man is recording a video.
entailment;A lady wearing a black summer top and dark sunglasses is taking a photograph.;A lady is taking a picture.
neutral;A lady wearing a black summer top and dark sunglasses is taking a photograph.;A lady is taking a picture of a statue.
entailment;An oriental women with black sunglasses and a black shirt holding up a cellphone.;the asian woman in shades holds a phone
contradiction;An oriental women with black sunglasses and a black shirt holding up a cellphone.;the dog eats legs
neutral;An oriental women with black sunglasses and a black shirt holding up a cellphone.;the asian woman in shades holds the phone she got for christmas
entailment;A man playing a saxaphone.;A man plays an instrument.
neutral;A man playing a saxaphone.;A man plays an instrument in a band.
contradiction;A man playing a saxaphone.;A man is drinking at a bar.
neutral;A boat is loaded with many barrels on its roof.;the boat is on the water
neutral;A boat is loaded with many barrels on its roof.;the boat is carrying oil barrels
contradiction;A boat is loaded with many barrels on its roof.;the boat has nothing on it
contradiction;An African-American man wearing a purple shirt, white shoes and blue jeans is playing a saxophone while standing inside of a building which has many archways and a red and gray tiled floor.;A man is driving a car.
neutral;An African-American man wearing a purple shirt, white shoes and blue jeans is playing a saxophone while standing inside of a building which has many archways and a red and gray tiled floor.;A man is playing a saxophone in room
entailment;An African-American man wearing a purple shirt, white shoes and blue jeans is playing a saxophone while standing inside of a building which has many archways and a red and gray tiled floor.;A man is playing a saxophone in inside of a building
neutral;A ship filled with supplies is docked on the shore with several others in the background and several men in the foreground.;The men are about to board the ship.
entailment;A ship filled with supplies is docked on the shore with several others in the background and several men in the foreground.;The ship is in the dock.
contradiction;A ship filled with supplies is docked on the shore with several others in the background and several men in the foreground.;The ship has had all of its supplies removed.
neutral;A man playing his saxophone in a public area.;A man is performing for a crowd for tips.
contradiction;A man playing his saxophone in a public area.;A man is playing a trumpet in a car.
entailment;A man playing his saxophone in a public area.;A man is playing a song on his instrument.
contradiction;Local villagers are preparing for a fishing trip on this gorgeous fishing boat.;A school class visits the aquarium.
neutral;Local villagers are preparing for a fishing trip on this gorgeous fishing boat.;The people hope to catch many fish.
entailment;Local villagers are preparing for a fishing trip on this gorgeous fishing boat.;People are getting to go fishing on a boat.
neutral;Young woman with scrabble shoes and white rimmed sunglasses talks and smiles on cellphone while opening package.;A young woman is talking on the phone with her mom as she opens her birthday present from her.
contradiction;Young woman with scrabble shoes and white rimmed sunglasses talks and smiles on cellphone while opening package.;A young woman is taking a nap in her bed.
entailment;Young woman with scrabble shoes and white rimmed sunglasses talks and smiles on cellphone while opening package.;A person is talking on their phone.
entailment;A woman with red-hair, a brown shirt, and a green bag is sitting down and talking on a phone.;The lady is having a conversation while not standing.
contradiction;A woman with red-hair, a brown shirt, and a green bag is sitting down and talking on a phone.;The girl is walking in the grocery store silently.
neutral;A woman with red-hair, a brown shirt, and a green bag is sitting down and talking on a phone.;The person is talking to her husband.
contradiction;A woman with red-hair talks on her cellphone while sitting down.;A woman is laying down and typing on her computer.
neutral;A woman with red-hair talks on her cellphone while sitting down.;A woman is talking to her child on the phone about school.
entailment;A woman with red-hair talks on her cellphone while sitting down.;A woman is sitting and talking on her cellphone.
entailment;A woman talks on her cellphone while standing near a brick wall.;A woman is on her cellphone.
neutral;A woman talks on her cellphone while standing near a brick wall.;A woman is talking to her lawyer on her cellphone.
contradiction;A woman talks on her cellphone while standing near a brick wall.;An alien is on her cellphone.
entailment;Bishop making the cross with ashes on a man's forehead;the man had a ash on his forehead
neutral;Bishop making the cross with ashes on a man's forehead;the man was at church
contradiction;Bishop making the cross with ashes on a man's forehead;the bishop talked to the woman while putting a cross on her cheek
contradiction;A priest rubs a cross on a man's forehead.;two men are skydiving
neutral;A priest rubs a cross on a man's forehead.;a man getting rid of his demon
entailment;A priest rubs a cross on a man's forehead.;"a priest rubs a man with his ""cross."""
contradiction;A man in a white robe with a purple sash places his hand on the forehead of another man.;Two men are playing tennis.
neutral;A man in a white robe with a purple sash places his hand on the forehead of another man.;The men are married to one another.
entailment;A man in a white robe with a purple sash places his hand on the forehead of another man.;Two men are near each other.
contradiction;A man in a white robe with a purple sash places his hand on the forehead of another man.;Two women hug as they celebrate graduating
contradiction;A man in a white robe with a purple sash places his hand on the forehead of another man.;A priest is meditating alone on his beliefs.
contradiction;A man in a white robe with a purple sash places his hand on the forehead of another man.;The man in the robe has no arms.
entailment;A man in a white robe with a purple sash places his hand on the forehead of another man.;There are two men next to each other
neutral;A man in a white robe with a purple sash places his hand on the forehead of another man.;A priest is giving a blessing to a man.
contradiction;A man in a white robe with a purple sash places his hand on the forehead of another man.;A man is standing by himself.
neutral;A man in a white robe with a purple sash places his hand on the forehead of another man.;A man places his hand on the forehand of a man kneeling down in front of him
entailment;A man in a white robe with a purple sash places his hand on the forehead of another man.;A man wearing a white robe places his hand on the other man's forehead.
neutral;A man in a white robe with a purple sash places his hand on the forehead of another man.;A priest is blessing someone.
neutral;A man in a white robe with a purple sash places his hand on the forehead of another man.;The two men are in a church.
entailment;A man in a white robe with a purple sash places his hand on the forehead of another man.;A person is touching someone's face.
entailment;A man in a white robe with a purple sash places his hand on the forehead of another man.;Two people are touching each other.
contradiction;A group of people looking around in a dirt or stone shaded area.;A girl is building a sandcastle.
entailment;A group of people looking around in a dirt or stone shaded area.;People are looking around the dirt.
neutral;A group of people looking around in a dirt or stone shaded area.;People are looking for a lost cellphone.
entailment;A small group of adults and children are standing on a dirt trail on a hill.;The group of people are standing.
neutral;A small group of adults and children are standing on a dirt trail on a hill.;The group of peopel are on a hiking trip.
contradiction;A small group of adults and children are standing on a dirt trail on a hill.;The group of dogs are standing on the dirt.
entailment;A group of people going for a hike.;A group of people are hiking.
contradiction;A group of people going for a hike.;A group of people dance in the woods.
neutral;A group of people going for a hike.;A group of people hike in the woods.
entailment;A group of tourists are exploring the sight.;The People are not from here.
contradiction;A group of tourists are exploring the sight.;The people live next to the sight.
neutral;A group of tourists are exploring the sight.;The tourists are part of a tour group.
neutral;A group of people are on a canyon.;People are hiking to the bottom of the canyon.
entailment;A group of people are on a canyon.;People are on a canyon.
contradiction;A group of people are on a canyon.;People are on a hill.
contradiction;Three women enjoying a balloon joyride.;Three women are enjoying a plane ride through the air.
entailment;Three women enjoying a balloon joyride.;Three women are on a balloon ride.
neutral;Three women enjoying a balloon joyride.;Three women are taking a tour of the city by means of a hot air balloon.
entailment;A group of people enjoying a hot air balloon ride.;Some people are in a hot are balloon
contradiction;A group of people enjoying a hot air balloon ride.;A group of dogs are in a hot air balloon.
neutral;A group of people enjoying a hot air balloon ride.;Some people are high in the sky
entailment;Tourists enjoying a hot air balloon type ride.;People are sitting in a balloon.
neutral;Tourists enjoying a hot air balloon type ride.;There are couples in the balloon.
contradiction;Tourists enjoying a hot air balloon type ride.;There is only one person in the balloon.
entailment;a group of people are enjoying their time on a carnival ride.;Humans enjoying.
contradiction;a group of people are enjoying their time on a carnival ride.;Nobody is enjoying.
neutral;a group of people are enjoying their time on a carnival ride.;Tall humans enjoying.
neutral;Children ride a balloon ride in an amusement park.;Kids are enjoying rides at an amusement park at night
neutral;Children ride a balloon ride in an amusement park.;Children stuck mid air on a balloon ride.
entailment;Children ride a balloon ride in an amusement park.;People in a ride
entailment;Children ride a balloon ride in an amusement park.;Children on a balloon ride at a carnival.
contradiction;Children ride a balloon ride in an amusement park.;Adults are playing poker
contradiction;Children ride a balloon ride in an amusement park.;The park was empty
entailment;Children ride a balloon ride in an amusement park.;Children are riding above the ground.
contradiction;Children ride a balloon ride in an amusement park.;Children painting a balloon in the air.
entailment;Children ride a balloon ride in an amusement park.;Kids are on amusement park rides
neutral;Children ride a balloon ride in an amusement park.;The children are enjoying their balloon ride.
entailment;Children ride a balloon ride in an amusement park.;Some kids are riding on a balloon ride at the amusement park.
contradiction;Children ride a balloon ride in an amusement park.;The children are riding the go-carts.
neutral;Children ride a balloon ride in an amusement park.;A group of brothers and sisters are riding on a balloon ride at the amusement park.
neutral;Children ride a balloon ride in an amusement park.;10 people in a ride
contradiction;Children ride a balloon ride in an amusement park.;Only one child is on a balloon ride at the amusement park.
contradiction;This person, seated on a type of go-cart, is riding downhill.;A bicyclist is riding uphill.
