similitud; oración1; oración2
vinculación; Una mujer caminando por el costado de una carretera.; La mujer camina por el camino.
neutral; Una mujer caminando por el costado de una carretera.; La mujer lleva un vestido azul.
contradicción; Una mujer caminando por el lado de una carretera.; El hombre está caminando por la carretera.
contradicción; Una mujer camina por el medio de la calle con una botella.; Una mujer corre afuera
neutral; Una mujer camina por el medio de la calle con una botella.; Una mujer camina a casa
vinculación; Una mujer camina por el medio de la calle con una botella.; Una mujer camina afuera
contradicción; una mujer con falda corta sostiene una botella de plástico mientras camina por una calle con tráfico de automóviles y peatones; la mujer está adentro comprando una tarjeta.
neutral; Una mujer con una falda corta sostiene una botella de plástico mientras camina por una calle con tráfico de automóviles y peatones.; La mujer lleva agua Dasani.
vinculación; Una mujer con una falda corta sostiene una botella de plástico mientras camina por una calle con tráfico de automóviles y peatones.; La mujer en una pequeña obra de teatro sostiene una botella y camina al aire libre.
vinculación; Una mujer vestida con una falda de jean camina por una calle de la ciudad.; Una mujer camina por una calle urbana.
contradicción; Una mujer vestida con una falda de jean camina por una calle de la ciudad.; Un hombre en jeans corre por un parque.
neutral; Una mujer con una falda de mezclilla camina por una calle de la ciudad.; Una mujer que lleva una falda de mezclilla.
contradicción; Una mujer que camina paralela a una línea amarilla contra el tráfico.; Una mujer está volando por el cielo.
neutral; Una mujer camina paralela a una línea amarilla contra el tráfico.; Una mujer camina contra el tráfico.
vinculación; Una mujer que camina paralela a una línea amarilla contra el tráfico.; Una persona que camina por el costado de la carretera.
contradicción; Compañeros escribiendo en la espalda de un amigo con marcadores negros.; La gente está intimidando a un niño al escribir cosas crueles en su espalda con marcador permanente.
vinculación; Compañeros escribiendo en la espalda de un amigo con marcadores negros.; Hay personas escribiendo en la espalda de alguien.
neutral; Compañeros escribiendo en la espalda de un amigo con marcadores negros.; La gente está escribiendo cosas tontas en la espalda de su amigo con marcadores.
contradicción; una pareja vestida con sudaderas besándose en la playa.; no están en una playa
vinculación; Una pareja vestida con sudaderas con capucha besándose en la playa.; hay una pareja
neutral; una pareja vestida con sudaderas con capucha besándose en la playa.; hay una pareja enamorada
neutral; Un hombre sostiene un pez que acaba de pescar.; ¡El pez era enorme!
contradicción; Un hombre sostiene un pez que acaba de pescar.; El hombre estaba usando una espada para pescar.
vinculación; Un hombre sostiene un pez que acaba de pescar.; Encontró un gran lugar para pescar.
vinculación; Una mujer con una camiseta verde habla por un micrófono.; Hay una mujer con una camiseta verde.
neutral; Una mujer con una camiseta verde habla por un micrófono.; La mujer está hablando por TEDtalks.
contradicción; Una mujer con una camiseta verde habla por un micrófono.; Un hombre con pantalones cortos verdes habla por un micrófono.
neutral; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Niña detrás de un grupo de caminantes
vinculación; Una niña que camina por un camino de tierra detrás de un grupo de otros caminantes.; La niña no está a la cabeza del grupo de personas.
neutral; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Una niña caminando por un camino de tierra para encontrarse con sus amigos.
vinculación; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Niña caminando por la carretera
neutral; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Una niña pequeña se acerca sigilosamente a algunas personas que caminan por un camino de tierra
contradicción; una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; chicos en grupo
contradicción; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Una niña monta su bicicleta en la acera
vinculación; Una niña que camina por un camino de tierra detrás de un grupo de otros caminantes.; Una niña que camina al aire libre.
contradicción; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Una niña anda en bicicleta por una colina cubierta de hierba.
neutral; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; La niña está siguiendo a sus padres por el camino.
neutral; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Una niña cansada tiene problemas para seguir el ritmo de sus padres.
contradicción; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; La niña está montando una bicicleta.
vinculación; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Una niña está en un camino de tierra.
vinculación; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Una niña pequeña sigue a la gente que camina por un camino de tierra.
contradicción; Una niña caminando por un camino de tierra detrás de un grupo de otros caminantes.; Una niña acostada, mirando televisión.
vinculación; Un grupo de viajeros se paran alrededor.; Un grupo de personas están atadas.
contradicción; Un grupo de viajeros se paran alrededor.; Hay una persona afuera.
neutral; Un grupo de viajeros se paran alrededor.; Un grupo de personas se apiña para un artista callejero.
neutral; Un adulto joven con jeans y una camiseta de camuflaje tocando una guitarra eléctrica negra.; Un músico de rock hace una audición para una banda.
contradicción; Un adulto joven con jeans y una camiseta de camuflaje tocando una guitarra eléctrica negra.; El músico usa un vestido con volantes.
vinculación; Un adulto joven con jeans y una camiseta de camuflaje tocando una guitarra eléctrica negra.; El guitarrista vestía ropa negra y camuflada.
contradicción; hay una mujer asiática con traje negro que está esperando en un aeropuerto; una mujer está tejiendo un gorro para un bebé.
neutral; hay una mujer asiática con un traje negro que está esperando en un aeropuerto; la mujer está hablando por su teléfono celular mientras espera en un aeropuerto.
vinculación; Hay una mujer asiática con un traje negro que está parada y esperando en un aeropuerto.; Una mujer está esperando en el aeropuerto.
neutral; Una mujer de ascendencia asiática vestida con un traje negro de pie en el área de equipaje del aeropuerto.; Una mujer esperando para recoger su equipaje después de volar desde Oriente para unirse a la orquesta sinfónica en su gira.
vinculación; Una mujer de ascendencia asiática con un traje negro de pie en el área de equipaje del aeropuerto.; Una mujer esperando en el reclamo de equipaje del aeropuerto
contradicción; Una mujer de ascendencia asiática con un traje negro de pie en el área de equipaje del aeropuerto.; Una mujer paseando a tres perros en el parque
vinculación; La gente está esperando con su equipaje en un check-in del aeropuerto.; La gente está esperando para facturar sus vuelos.
contradicción; La gente está esperando con su equipaje en el check-in del aeropuerto.; Una pareja casi pierde la salida de su crucero debido al tráfico.
neutral; La gente está esperando con su equipaje en el check-in del aeropuerto.; Una fila muy larga de personas está esperando para registrarse para sus vuelos.
neutral; Gente en un aeropuerto con equipaje esperando algo.; El avión llega tarde al aeropuerto.
contradicción; Gente en un aeropuerto con equipaje esperando algo.; La gente está en casa durmiendo.
vinculación; Gente en un aeropuerto con equipaje esperando algo.; La gente está adentro esperando.
neutral; un niño hace un movimiento de voltereta sobre un césped cubierto de hojas cerca de la puesta del sol.; un niño pequeño hace un movimiento de voltereta
contradicción; un niño hace un movimiento de voltereta sobre un césped cubierto de hojas cerca de la puesta del sol.; una mujer joven hace un movimiento de voltereta
vinculación; Un niño hace un movimiento de voltereta sobre un césped cubierto de hojas cerca de la puesta del sol.; Un niño hace un movimiento de voltereta
vinculación; Una banda se presenta en un escenario.; Una banda se presenta.
contradicción; Una banda actúa en un escenario.; Una banda se toma un descanso en la sala verde.
neutral; Una banda toca en un escenario.; Una banda toca una canción.
contradicción; Una mujer con camisa negra caminando por la calle; Un joven con camisa roja anda en patineta por la calle.
neutral; Una mujer con camisa negra caminando por la calle; Una mujer con camisa negra camina hacia el trabajo.
vinculación; Una mujer con camisa negra caminando por la calle; Hay una mujer con camisa de espalda caminando en la calle.
vinculación; Un hombre con un sombrero estilo camionero azul y blanco con un logotipo lleva gafas frente a un hombre con una camisa amarilla.; Un hombre quiere un sombrero azul y gafas
neutral; un hombre con una gorra estilo camionero azul y blanco con un logo lleva anteojos frente a un hombre con una camisa amarilla.
contradicción; un hombre con una gorra estilo camionero azul y blanco con un logotipo lleva gafas frente a un hombre con una camisa amarilla.; están conduciendo
vinculación; Un hombre con una camiseta, gafas y una gorra de Cerveza Nacional Bohemia está mirando a su derecha y sonriendo.; un hombre está sonriendo
contradicción; Un hombre con una camiseta, gafas y una gorra de Cerveza Nacional Bohemia está mirando a su derecha y sonriendo.; Un hombre está felizmente usando su gorra de cerveza afuera
neutral; Un hombre con camiseta, gafas y una gorra de Cerveza Nacional Bohemia mira a su derecha y sonríe; un hombre sonríe por su camiseta
neutral; Una mujer vestida de rosa está cantando en el escenario junto a tres guitarristas.; Ella está actuando en un concierto.
vinculación; Una mujer vestida de rosa está cantando en el escenario junto a tres guitarristas.; Una mujer está cantando.
contradicción; una mujer vestida de rosa está cantando en el escenario junto a tres guitarristas; la mujer no es buena cantante.
vinculación; Una mujer con camisa negra camina sosteniendo un teléfono celular plateado.
contradicción; una mujer con camisa negra camina sosteniendo un teléfono celular plateado; un hombre camina
neutral; una mujer con camisa negra camina sosteniendo un teléfono celular plateado.; una mujer mayor camina
contradicción; Un grupo de personas está en un acuario para ver la vida marina.; Un grupo de personas está mirando cebras en el zoológico.
neutral; Un grupo de personas está en un acuario para ver la vida marina.; Un grupo está en el acuario en un recorrido.
vinculación; Un grupo de personas está en un acuario para ver la vida marina.; Un grupo está viendo todos los diferentes tipos de peces en el acuario.
contradicción; Una mujer joven sonriendo y un hombre joven sonriendo frente a un orador.; Dos jóvenes discutiendo.
neutral; Una mujer joven sonriendo y un hombre joven sonriendo frente a un orador.; Una pareja joven en una cita.
vinculación; Una mujer joven sonriendo y un hombre joven sonriendo frente a un orador.; Dos personas disfrutando de la compañía del otro.
contradicción; Un hombre está lavando su ropa.; Un joven está almorzando.
vinculación; Un hombre está lavando su ropa.; Un hombre lava su ropa.
neutral; Un hombre está lavando su ropa.; Un hombre lava la ropa para su familia.
contradicción; Una persona se para en medio del tráfico.; Una persona está sentada en medio de la nada.
neutral; Una persona se para en medio del tráfico.; Una persona se para en medio del público esperando moverse.
vinculación; Una persona se para en medio del tráfico.; Una persona está parada en el público.
contradicción; Un hombre vestido con una camisa roja se sienta mirando cómo se lava su ropa; El hombre está montando una bicicleta.
vinculación; Un hombre vestido con una camisa roja se sienta mirando cómo se lava su ropa.; Un hombre en el interior.
neutral; Un hombre vestido con una camisa roja se sienta mirando cómo se lava su ropa.; Un hombre está en una lavandería automática.
neutral; El hombre se sienta y mira cinco lavadoras.; Un hombre se sienta en una lavandería.
contradicción; El hombre se sienta y mira cinco lavadoras.; Un hombre mira la única máquina en la habitación.
vinculación; El hombre se sienta y mira cinco lavadoras.; Hay una persona mirando las máquinas diseñadas para limpiar la ropa.
vinculación; Personas que miran peces en un acuario.; Algunas personas están mirando peces en un acuario.
neutral; Personas que buscan peces en un acuario.; Personas que buscan peces para un proyecto escolar.
vinculación; Gente mirando peces en un acuario.; Un grupo de personas está observando la vida acuática.
contradicción; Gente mirando peces en un acuario.; El grupo de personas ha llegado a la cima de la Torre Eiffel.
neutral; Gente que mira peces en un acuario.; La gente pasa su día libre dentro de un acuario con tiburones.
neutral; Gente mirando peces en un acuario.; Hay dos tiburones en una exhibición de acuario.
contradicción; Gente mirando peces en un acuario; La gente está comiendo pescado.
contradicción; Gente mirando peces en un acuario.; La gente está reunida alrededor de una exhibición de dinosaurios en un museo.
vinculación; Personas que miran peces en un acuario.; La gente está mirando peces en un acuario.
contradicción; Gente mirando peces en un acuario.; Gente mirando peces en el océano en una playa.
contradicción; Gente mirando peces en un acuario; Gente mirando tortugas.
neutral; Gente mirando peces en un acuario.; La gente está visitando el acuario.
vinculación; Personas que miran peces en un acuario.; Personas que miran peces.
vinculación; Gente mirando peces en un acuario.; Hay gente en un acuario mirando peces.
neutral; Personas que miran peces en un acuario.; Un viaje de campo visita un acuario para observar peces.
contradicción; Un hombre sentado en la lavandería pública esperando que su ropa termine de secarse.; Nadie está sentado.
vinculación; Un hombre sentado en la lavandería pública esperando que su ropa termine de secarse.; Un ser humano sentado.
neutral; Un hombre sentado en la lavandería pública esperando que su ropa termine de secarse.; Un gran ser humano sentado.
contradicción; Una mujer nadando con dos niños con chalecos salvavidas azules; Los chalecos salvavidas son marrones.
neutral; Una mujer nadando con dos niños con chalecos salvavidas azules; La mujer es la madre de los niños.
vinculación; Una mujer nadando con dos niños con chalecos salvavidas azules; La gente está en el agua.
contradicción; una mujer y dos niños que llevan chalecos salvavidas azules están nadando; estas personas están secas y calientes.
neutral; Una mujer y dos niños que llevan chalecos salvavidas azules están nadando.; La familia nada desde la canoa que se hunde.
vinculación; Una mujer y dos niños que llevan chalecos salvavidas azules están nadando.; La gente tiene chalecos salvavidas a juego
vinculación; Una mujer y dos niños están nadando en el agua.; Hay agua.
neutral; Una mujer y dos niños están nadando en el agua.; El agua está fría.
contradicción; Una mujer y dos niños están nadando en el agua.; No hay niños.
contradicción; la madre con dos hijos están nadando en el mar.; dos niños están nadando mientras la madre se broncea en la playa
neutral; la madre con dos hijos están nadando en el mar.; los hijos son perseguidos por su madre en el océano
vinculación; La madre con dos hijos están nadando en el mar.; la madre y los hijos están nadando
neutral; Una mujer y niños nadando en un lago.; La madre está haciendo que los niños corran en el lago.
contradicción; Una mujer y niños nadando en un lago.; Una mujer está haciendo galletas para los niños.
vinculación; Una mujer y niños nadando en un lago.; Una mujer en niños están afuera jugando en el agua.
vinculación; Algunas chicas están vestidas con maquillaje de zombie.; Chicas con maquillaje de zombie.
contradicción; algunas chicas están vestidas con maquillaje de zombies; estos son zombies.
neutral; Algunas chicas están vestidas con maquillaje de zombies.; Chicas vestidas como novias zombies.
contradicción; Cuatro tipos con camisas a rayas tocando instrumentos musicales en un restaurante.; Un grupo de mujeres está cazando un elefante.
neutral; Cuatro tipos con camisas a rayas tocando instrumentos musicales en un restaurante.; Un grupo de italianos están tocando instrumentos.
vinculación; Cuatro tipos con camisas a rayas tocando instrumentos musicales en un restaurante.; Una banda está tocando canciones en el interior.
neutral; Una mujer con lentes negros está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; La señora está cuidando a su nieta.
neutral; Una mujer con gafas negras comparte dulces con una niña pequeña que lleva un sombrero de princesa.; Una madre le da dulces a su hija.
vinculación; Una mujer con gafas negras está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; Hay una niña.
contradicción; Una mujer con lentes negros está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; La mujer y su nieto disfrutan de su día solos.
neutral; Una mujer con lentes negros está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; Una mujer le da dulces a una niña vestida como una princesa en Halloween.
contradicción; Una mujer con lentes negros está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; Un hombre con una capa le da a un niño una pelota de béisbol.
neutral; Una mujer con lentes negros está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; La mujer está sonriendo.
vinculación; Una mujer con lentes negros está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; La mujer compartió sus dulces con la niña.
neutral; Una mujer con lentes negros está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; El niño pequeño está comiendo los dulces.
vinculación; Una mujer con lentes negros está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; La mujer no es egoísta con la niña.
vinculación; Una mujer con gafas negras está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; Una mujer le está dando a una niña algunas golosinas.
vinculación; Una mujer con gafas negras comparte dulces con una niña pequeña que lleva un sombrero de princesa.; Una mujer come con un niño pequeño.
contradicción; Una mujer con gafas negras comparte dulces con una niña pequeña que lleva un sombrero de princesa.; Un padre desayuna con un adolescente.
contradicción; Una mujer con lentes negros está compartiendo dulces con una niña pequeña que lleva un sombrero de princesa.; La mujer está compartiendo la fruta con el niño.
contradicción; una mujer con gafas negras comparte dulces con una niña pequeña que lleva un sombrero de princesa; no hay mujer.
neutral; Mujer con camisa roja y gafas de sol le da caramelos a su hija que lleva una corona.; Una mujer reparte caramelos de Halloween a una niña vestida de princesa.
contradicción; Mujer con camisa roja y anteojos de sol le da caramelos a su hija que lleva una corona.; Una mujer con camisa roja le da a su hija su mochila para la escuela.
vinculación; Mujer con camisa roja y anteojos de sol le da caramelos a su hija que lleva una corona.; Una mujer le da caramelos a una niña.
neutral; Una mujer sostiene un plato de golosinas para su princesita.; La mujer sostiene un plato de golosinas
vinculación; Una mujer sostiene un plato de golosinas para su princesita.; Mujer con un plato de golosinas para su princesita
contradicción; Una mujer sostiene un plato de golosinas para su princesita.; La mujer sostiene un libro para su esposo
neutral; Una niña con una tiara comiendo en el regazo de alguien.; La niña estaba con otras personas comiendo.
contradicción; Una niña con una tiara comiendo en el regazo de alguien.; La niña estaba bebiendo un refresco junto a una fuente.
vinculación; Una niña con una tiara comiendo en el regazo de alguien.; La niña estaba en el regazo de su madre cenando después de ganar una tiara en el concurso.
contradicción; una señora gorda alimentando a su pequeña hija; el hombre le da a su hijo un cono de helado.
vinculación; una señora gorda alimentando a su pequeña hija; la señora pesa más de 100 libras.
contradicción; una señora gorda alimentando a su pequeña hija; la mujer está volando en ala delta sobre los árboles.
contradicción; una señora gorda alimentando a su pequeña hija; la señora está jugando en un torneo de cricket.
vinculación; una señora gorda alimentando a su hija pequeña.; una señora gorda alimentando a una niña.
neutral; una señora gorda alimentando a su pequeña hija; una señora gorda alimentando a una niña que se muere de hambre.
vinculación; una señora gorda alimentando a su pequeña hija.; Dos personas a la hora de comer.
neutral; una señora gorda alimentando a su pequeña hija; la hija está comiendo algo delicioso.
contradicción; una señora gorda alimentando a su pequeña hija; la señora es flaca.
neutral; una señora gorda alimentando a su pequeña hija; la señora está en la cocina.
contradicción; una señora gorda alimentando a su hija pequeña.; una señora gorda alimentando a un perro.
neutral; una señora gorda alimentando a su pequeña hija; el niño es un niño.
vinculación; una señora gorda alimentando a su pequeña hija.; Una mujer está alimentando a su pequeña hija.
vinculación; una señora gorda alimentando a su pequeña hija.; Hay dos mujeres.
neutral; una señora gorda alimentando a su pequeña hija.; La señora le tiende una cuchara a su hijo.
vinculación; Una mujer tomando una foto.; La mujer está tomando una foto.
neutral; Una mujer tomando una foto.; El turista está tomando fotos de sus vacaciones.
contradicción; Una mujer tomando una foto.; El turista está comprando recuerdos de su viaje.
neutral; Una mujer con gafas de sol tomando una fotografía; La mujer está tomando una foto de un perro.
vinculación; Una mujer con gafas de sol tomando una fotografía; La mujer está tomando una fotografía.
contradicción; Una mujer con gafas de sol tomando una fotografía; La mujer está acostada.
neutral; una mujer con un vestido negro y sombras toma una foto.; la mujer es una modelo
vinculación; Una mujer con un vestido negro y gafas toma una foto.; una mujer con un vestido negro y gafas toma una foto
contradicción; una mujer con un vestido negro y sombras toma una foto.; la mujer está durmiendo
contradicción; Una señora con un top negro de verano y gafas de sol oscuras está tomando una fotografía.; Un hombre está grabando un video.
vinculación; Una dama con un top negro de verano y gafas de sol oscuras está tomando una fotografía.; Una dama está tomando una foto.
neutral; Una dama con un top negro de verano y gafas de sol oscuras está tomando una fotografía.; Una dama está tomando una foto de una estatua.
vinculación; Una mujer oriental con gafas de sol negras y una camisa negra sosteniendo un teléfono celular.; La mujer asiática en sombras sostiene un teléfono
contradicción; Una mujer oriental con gafas de sol negras y una camisa negra sosteniendo un teléfono celular.; El perro come patas
neutral; una mujer oriental con gafas de sol negras y una camisa negra sosteniendo un teléfono celular.; la mujer asiática en sombras sostiene el teléfono que recibió para navidad
vinculación; Un hombre tocando un saxofón.; Un hombre toca un instrumento.
neutral; Un hombre tocando un saxofón.; Un hombre toca un instrumento en una banda.
contradicción; Un hombre tocando un saxofón.; Un hombre está bebiendo en un bar.
neutral; un bote está cargado con muchos barriles en su techo.; el bote está en el agua
neutral; un barco está cargado con muchos barriles en su techo.; el barco lleva barriles de petróleo
contradicción; un barco está cargado con muchos barriles en su techo.; el barco no tiene nada en él
contradicción; Un hombre afroamericano con una camisa morada, zapatos blancos y jeans azules está tocando un saxofón mientras está de pie dentro de un edificio que tiene muchos arcos y un piso de baldosas rojas y grises.; Un hombre está conduciendo un automóvil.
neutral; Un hombre afroamericano con una camisa morada, zapatos blancos y jeans azules está tocando un saxofón mientras está de pie dentro de un edificio que tiene muchos arcos y un piso de baldosas rojas y grises.; Un hombre está tocando un saxofón en la habitación
vinculación; Un hombre afroamericano con una camisa morada, zapatos blancos y jeans azules está tocando un saxofón mientras está de pie dentro de un edificio que tiene muchos arcos y un piso de baldosas rojas y grises.; Un hombre está tocando un saxofón en el interior de un edificio
neutral; un barco lleno de provisiones está atracado en la orilla con varios otros al fondo y varios hombres en primer plano.; Los hombres están a punto de abordar el barco.
vinculación; Un barco lleno de provisiones está atracado en la orilla con varios otros al fondo y varios hombres en primer plano.; El barco está en el muelle.
contradicción; un barco lleno de suministros está atracado en la orilla con varios otros al fondo y varios hombres en primer plano.; El barco ha tenido todos sus suministros retirados.
neutral; Un hombre tocando su saxofón en un área pública.; Un hombre está actuando para una multitud en busca de propinas.
contradicción; Un hombre tocando su saxofón en un área pública.; Un hombre está tocando una trompeta en un automóvil.
vinculación; Un hombre tocando su saxofón en un área pública.; Un hombre está tocando una canción en su instrumento.
contradicción; Los aldeanos locales se están preparando para un viaje de pesca en este hermoso barco de pesca.; Una clase de la escuela visita el acuario.
neutral; Los aldeanos locales se están preparando para un viaje de pesca en este hermoso barco pesquero.; La gente espera pescar muchos peces.
vinculación; Los aldeanos locales se están preparando para un viaje de pesca en este hermoso barco de pesca.; La gente va a pescar en un barco.
neutral; Mujer joven con zapatos de scrabble y lentes de sol con montura blanca habla y sonríe en el teléfono celular mientras abre el paquete.; Una mujer joven está hablando por teléfono con su mamá mientras abre su regalo de cumpleaños.
contradicción; Mujer joven con zapatos de scrabble y gafas de sol con montura blanca habla y sonríe en el teléfono celular mientras abre el paquete.; Una mujer joven está tomando una siesta en su cama.
vinculación; Mujer joven con zapatos de scrabble y gafas de sol con montura blanca habla y sonríe en el teléfono celular mientras abre el paquete.; Una persona está hablando por su teléfono.
vinculación; Una mujer pelirroja, camisa marrón y bolso verde está sentada y hablando por teléfono.; La señora está conversando sin estar de pie.
contradicción; una mujer pelirroja, camisa marrón y bolso verde está sentada y hablando por teléfono; la niña camina silenciosamente en la tienda.
neutral; Una mujer pelirroja, camisa marrón y bolso verde está sentada y hablando por teléfono.; La persona está hablando con su esposo.
contradicción; Una mujer pelirroja habla por su teléfono celular mientras está sentada.; Una mujer está acostada y escribiendo en su computadora.
neutral; Una mujer pelirroja habla por su teléfono celular mientras está sentada.; Una mujer habla por teléfono con su hijo sobre la escuela.
vinculación; Una mujer pelirroja habla por su celular mientras está sentada.; Una mujer está sentada y hablando por su celular.
vinculación; Una mujer habla por su teléfono celular mientras está de pie cerca de una pared de ladrillos.; Una mujer está en su teléfono celular.
neutral; Una mujer habla por su teléfono celular mientras está de pie cerca de una pared de ladrillos.; Una mujer está hablando con su abogado por su teléfono celular.
contradicción; Una mujer habla por su teléfono celular mientras está de pie cerca de una pared de ladrillos.; Un extraterrestre está en su teléfono celular.
vinculación; Obispo haciendo la cruz con cenizas en la frente de un hombre; el hombre tenía una ceniza en la frente
neutral; obispo haciendo la cruz con cenizas en la frente de un hombre; el hombre estaba en la iglesia
contradicción; obispo haciendo la cruz con cenizas en la frente de un hombre; el obispo habló con la mujer mientras le ponía una cruz en la mejilla
contradicción; un sacerdote frota una cruz en la frente de un hombre.; dos hombres están haciendo paracaidismo
neutral; un sacerdote frota una cruz en la frente de un hombre.; un hombre que se deshace de su demonio
vinculación; Un sacerdote frota una cruz en la frente de un hombre.; "Un sacerdote frota a un hombre con su" "cruz". ""
contradicción; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Dos hombres están jugando al tenis.
neutral; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Los hombres están casados ​​entre sí.
vinculación; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Dos hombres están cerca el uno del otro.
contradicción; Un hombre con una túnica blanca con una faja púrpura coloca su mano en la frente de otro hombre.; Dos mujeres se abrazan mientras celebran la graduación
contradicción; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Un sacerdote está meditando solo en sus creencias.
contradicción; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; El hombre de la túnica no tiene brazos.
vinculación; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Hay dos hombres uno al lado del otro.
neutral; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Un sacerdote está dando una bendición a un hombre.
contradicción; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Un hombre está parado solo.
neutral; Un hombre con una túnica blanca con una faja púrpura coloca su mano en la frente de otro hombre.; Un hombre coloca su mano en la frente de un hombre arrodillado frente a él.
vinculación; Un hombre con una túnica blanca con una faja púrpura coloca su mano sobre la frente de otro hombre.; Un hombre vestido con una túnica blanca coloca su mano sobre la frente del otro hombre.
neutral; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Un sacerdote está bendiciendo a alguien.
neutral; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Los dos hombres están en una iglesia.
vinculación; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Una persona está tocando la cara de alguien.
vinculación; Un hombre con una túnica blanca con una banda púrpura coloca su mano sobre la frente de otro hombre.; Dos personas se tocan.
contradicción; Un grupo de personas mirando a su alrededor en un área sombreada de tierra o piedra.; Una niña está construyendo un castillo de arena.
vinculación; Un grupo de personas mirando alrededor en un área sombreada de tierra o piedra.; La gente está mirando alrededor de la tierra.
neutral; Un grupo de personas mirando a su alrededor en un área sombreada de tierra o piedra.; La gente está buscando un teléfono celular perdido.
vinculación; Un pequeño grupo de adultos y niños están parados en un sendero de tierra en una colina.; El grupo de personas está de pie.
neutral; Un pequeño grupo de adultos y niños están parados en un sendero de tierra en una colina.; El grupo de personas está en un viaje de senderismo.
contradicción; Un pequeño grupo de adultos y niños está parado en un camino de tierra en una colina.; El grupo de perros está parado en la tierra.
vinculación; Un grupo de personas que van de excursión.; Un grupo de personas que van de excursión.
contradicción; Un grupo de personas que van de excursión.; Un grupo de personas bailan en el bosque.
neutral; Un grupo de personas que van de excursión.; Un grupo de personas que van de excursión al bosque.
vinculación; Un grupo de turistas está explorando la vista.; La gente no es de aquí.
contradicción; Un grupo de turistas está explorando la vista.; La gente vive al lado de la vista.
neutral; Un grupo de turistas está explorando la vista.; Los turistas son parte de un grupo turístico.
neutral; Un grupo de personas está en un cañón.; La gente está caminando hasta el fondo del cañón.
vinculación; Un grupo de personas está en un cañón.; La gente está en un cañón.
contradicción; Un grupo de personas está en un cañón.; La gente está en una colina.
contradicción; Tres mujeres disfrutan de un paseo en globo.; Tres mujeres disfrutan de un viaje en avión por el aire.
vinculación; Tres mujeres disfrutando de un paseo en globo.; Tres mujeres están en un paseo en globo.
neutral; Tres mujeres disfrutando de un paseo en globo.; Tres mujeres están dando un recorrido por la ciudad mediante un globo aerostático.
vinculación; Un grupo de personas disfrutando de un paseo en globo aerostático.; Algunas personas están en un globo
contradicción; Un grupo de personas disfrutando de un paseo en globo aerostático.; Un grupo de perros está en un globo aerostático.
neutral; Un grupo de personas disfrutando de un paseo en globo aerostático.; Algunas personas están en lo alto del cielo
vinculación; Turistas disfrutando de un paseo en globo aerostático.; Personas sentadas en un globo.
neutral; Turistas disfrutando de un paseo tipo globo aerostático.; Hay parejas en el globo.
contradicción; Turistas disfrutando de un paseo en globo aerostático.; Solo hay una persona en el globo.
vinculación; un grupo de personas está disfrutando de su tiempo en un paseo de carnaval.; Humanos disfrutando.
contradicción; un grupo de personas está disfrutando de su tiempo en un paseo de carnaval; nadie está disfrutando.
neutral; un grupo de personas está disfrutando de su tiempo en un paseo de carnaval.; Humanos altos disfrutando.
neutral; Los niños viajan en globo en un parque de atracciones.; Los niños disfrutan de paseos en un parque de atracciones por la noche
neutral; Los niños viajan en globo en un parque de diversiones.; Los niños se quedan atrapados en el aire en un viaje en globo.
vinculación; Los niños viajan en globo en un parque de diversiones.; Personas en un paseo
